epoch,accuracy,loss,val_accuracy,val_loss,learning_rate
1,0.4802083373069763,0.5582088232040405,0.05000000074505806,0.752856433391571,0.0005000000237487257
2,0.512499988079071,0.5458957552909851,0.05000000074505806,0.7590793967247009,0.0005000000237487257
3,0.5270833373069763,0.5302865505218506,0.46666666865348816,0.7856485247612,0.0005000000237487257
4,0.5270833373069763,0.5100815296173096,0.46666666865348816,0.7336288094520569,0.0005000000237487257
5,0.5645833611488342,0.47630423307418823,0.46666666865348816,0.7611928582191467,0.0005000000237487257
6,0.5843750238418579,0.446944922208786,0.46666666865348816,0.8005824685096741,0.0005000000237487257
7,0.6239583492279053,0.41889896988868713,0.46666666865348816,0.8042771220207214,0.0005000000237487257
8,0.6364583373069763,0.3883421719074249,0.46666666865348816,0.7838844060897827,0.0005000000237487257
9,0.6791666746139526,0.3533167243003845,0.46666666865348816,0.7863821387290955,0.00010000000474974513
10,0.6885416507720947,0.3222341239452362,0.46666666865348816,0.7830045223236084,0.00010000000474974513
11,0.690625011920929,0.3159506916999817,0.5041666626930237,0.7682289481163025,0.00010000000474974513
12,0.703125,0.29459866881370544,0.5041666626930237,0.7229762673377991,0.00010000000474974513
13,0.7072916626930237,0.2859494090080261,0.5083333253860474,0.7143208384513855,0.00010000000474974513
14,0.7104166746139526,0.2730531096458435,0.5333333611488342,0.6759144067764282,0.00010000000474974513
15,0.6968749761581421,0.2628093957901001,0.5541666746139526,0.6580297350883484,0.00010000000474974513
16,0.7447916865348816,0.2501640021800995,0.5833333134651184,0.5904693007469177,0.00010000000474974513
17,0.7239583134651184,0.24341842532157898,0.637499988079071,0.5456309914588928,0.00010000000474974513
18,0.7552083134651184,0.2310335487127304,0.6708333492279053,0.4869338274002075,0.00010000000474974513
19,0.7427083253860474,0.22060133516788483,0.7333333492279053,0.44849273562431335,0.00010000000474974513
20,0.765625,0.20888949930667877,0.7416666746139526,0.4010920226573944,0.00010000000474974513
21,0.7354166507720947,0.19665049016475677,0.800000011920929,0.3631128668785095,0.00010000000474974513
22,0.746874988079071,0.1926187425851822,0.7958333492279053,0.3394867181777954,0.00010000000474974513
23,0.7458333373069763,0.17477263510227203,0.7833333611488342,0.3122044801712036,0.00010000000474974513
24,0.7447916865348816,0.16631682217121124,0.7541666626930237,0.2933195233345032,0.00010000000474974513
25,0.7614583373069763,0.1620224118232727,0.7666666507720947,0.2661299705505371,0.00010000000474974513
26,0.7604166865348816,0.15202538669109344,0.7875000238418579,0.25720149278640747,0.00010000000474974513
27,0.7854166626930237,0.14037244021892548,0.7458333373069763,0.2486853450536728,0.00010000000474974513
28,0.7822916507720947,0.1280704289674759,0.7749999761581421,0.23473688960075378,0.00010000000474974513
29,0.7677083611488342,0.12468080967664719,0.7333333492279053,0.22922401130199432,0.00010000000474974513
30,0.778124988079071,0.11834191530942917,0.75,0.22150202095508575,0.00010000000474974513
31,0.7708333134651184,0.11377503722906113,0.7833333611488342,0.2155594527721405,0.00010000000474974513
32,0.7864583134651184,0.10461723059415817,0.7916666865348816,0.2127612680196762,0.00010000000474974513
33,0.7562500238418579,0.09959109127521515,0.7333333492279053,0.20161248743534088,0.00010000000474974513
34,0.7729166746139526,0.09651216119527817,0.7250000238418579,0.19758816063404083,0.00010000000474974513
35,0.762499988079071,0.08907090872526169,0.7416666746139526,0.19186779856681824,0.00010000000474974513
36,0.7729166746139526,0.08913082629442215,0.7083333134651184,0.1902790516614914,0.00010000000474974513
37,0.7729166746139526,0.08612838387489319,0.7416666746139526,0.18805621564388275,0.00010000000474974513
38,0.7552083134651184,0.08040404319763184,0.737500011920929,0.18907897174358368,0.00010000000474974513
39,0.7739583253860474,0.07541809231042862,0.7166666388511658,0.18143470585346222,0.00010000000474974513
40,0.7802083492279053,0.07014799118041992,0.7791666388511658,0.1719115823507309,0.00010000000474974513
41,0.778124988079071,0.06868244707584381,0.7958333492279053,0.1746165007352829,0.00010000000474974513
42,0.7729166746139526,0.06597194820642471,0.7541666626930237,0.16797307133674622,0.00010000000474974513
43,0.778124988079071,0.06112785264849663,0.7791666388511658,0.16566137969493866,0.00010000000474974513
44,0.7677083611488342,0.0588562898337841,0.7166666388511658,0.1690811663866043,0.00010000000474974513
45,0.7822916507720947,0.06147380173206329,0.699999988079071,0.16746799647808075,0.00010000000474974513
46,0.7593749761581421,0.05688661336898804,0.7333333492279053,0.17040498554706573,0.00010000000474974513
47,0.784375011920929,0.05066511780023575,0.7541666626930237,0.15653930604457855,0.00010000000474974513
48,0.765625,0.04942409694194794,0.7708333134651184,0.15639232099056244,0.00010000000474974513
49,0.7635416388511658,0.04460771754384041,0.699999988079071,0.14947324991226196,0.00010000000474974513
50,0.7510416507720947,0.04555381089448929,0.7291666865348816,0.1514074206352234,0.00010000000474974513
